42fe4cf4	00000000	40999d1a	00000000	4290e0af	41f0add0	434ea438	42479cd5
43860bb0	00000000	41dd229b	00000000	433b80fd	4381e09f	43203248	42109f53
432a5c12	00000000	429e252d	00000000	42d449a0	4188765d	00000000	00000000
42f6ac29	428274ce	00000000	00000000	41b96918	4002029d	00000000	00000000
42ccc507	42aaae9e	00000000	00000000	00000000	00000000	00000000	00000000
429a9ac1	4331ae07	00000000	42a892e6	00000000	41b95b6a	00000000	00000000
430c34c4	430cef64	00000000	00000000	00000000	00000000	00000000	00000000
437f34f5	00000000	00000000	00000000	431b13f2	43286031	438a6eda	00000000
43b01478	00000000	00000000	00000000	43d5fc02	43e97bf4	440400a4	00000000
4381c40b	00000000	4300d362	40b6995c	43bb385d	00000000	43c514d3	00000000
43703349	00000000	42fe0938	4294a63f	43997402	00000000	43b9f268	00000000
438ffa43	00000000	42c849b3	425947c9	4379a972	00000000	4388f8b0	00000000
43a840d8	00000000	416e26c1	41b83430	435119b2	00000000	4366ddda	00000000
43cb5155	00000000	00000000	40daa5b3	4363b1b9	00000000	4372677e	00000000
43a56ef6	00000000	00000000	4298d581	43405fbb	00000000	43404950	00000000
4376b0d1	00000000	00000000	432a67b7	430a0259	00000000	4374f94d	00000000
4385fb53	00000000	00000000	433e2965	42c38a2d	00000000	43888032	00000000
4395cbc0	00000000	00000000	43129aa0	4312a577	00000000	435bb3b4	00000000
4393e412	00000000	00000000	430d9a43	42ff3531	00000000	43553c9b	00000000
4395e7b3	00000000	00000000	43113523	42ab0c0b	00000000	432a2d99	00000000
437fe1c3	00000000	00000000	4315b1f2	42cb925a	00000000	42fad945	00000000
432e66ac	00000000	00000000	437e0f38	41e7f9d6	00000000	43528d1b	00000000
432adccd	00000000	00000000	436dfab5	42b73688	00000000	436965fc	00000000
42d5a0d6	00000000	00000000	438093ec	42efc0f4	00000000	43864bc1	00000000
42f3325a	00000000	4211f234	439d7523	4290b350	00000000	43b173af	00000000
4373f743	00000000	429d5ae1	4348fd21	42e85544	00000000	43886cf7	00000000
436b4504	00000000	41b30e3c	43305504	42f3f38f	00000000	432a0c3a	00000000
4321c859	00000000	4083bb9d	4365e3e5	425959c3	00000000	43319223	00000000
42db6895	00000000	00000000	436566b0	426fa830	00000000	43280847	00000000
42fe07a9	00000000	418e7b7f	4374af4b	00000000	00000000	4348f0c4	00000000
4332e589	00000000	00000000	432977c4	421f06db	00000000	42e801f1	00000000
4331d23c	00000000	00000000	431aef2a	418a3d0a	00000000	42ce9338	00000000
43137c61	00000000	00000000	43181b16	418dc830	00000000	4290e9a3	00000000
42ae1a0c	00000000	00000000	43186a4b	428fa23e	00000000	43120fa0	00000000
41febdbd	00000000	00000000	435e670a	42ce730a	00000000	438a1c6f	00000000
00000000	00000000	422c44de	438698f3	42d20e14	00000000	43910bf9	00000000
00000000	00000000	433c9558	43d4c8e5	40860568	00000000	43448132	00000000
00000000	00000000	438a648b	43a056b0	00000000	00000000	4338c137	00000000
43019cb1	00000000	42a10d0f	4254c605	4248aac8	00000000	4225643e	00000000
42ad556a	41e6df60	00000000	41f7cb9b	00000000	00000000	00000000	00000000
00000000	42d8aa4e	00000000	430de804	00000000	00000000	00000000	00000000
41e57833	00000000	00000000	00000000	419f7753	00000000	42ac4916	00000000
00000000	00000000	00000000	4383e3b3	00000000	425513a6	42ab6216	00000000
00000000	00000000	436382b2	439f721f	00000000	00000000	4202d145	00000000
00000000	00000000	426dded6	412742c4	00000000	00000000	4232dadc	41160a8d
44150473	430a843c	00000000	00000000	431c7523	43aefa69	4400cfd2	43aa68b2
